,岗位编号,求职者编号,标签
226,829236,5812917,1
227,829735,6134289,0
228,805309,6204640,0
229,769754,6044082,0
230,834713,5327883,1
231,42544683,5955615,1
232,770860,6046344,0
233,800040,6157082,0
234,768787,5971245,0
235,772907,5604553,0
236,807861,6129653,0
237,779698,6179129,0
238,816862,6191545,0
239,771514,5756484,0
240,786590,6083535,0
241,44254655,5585865,1
242,816862,5560060,0
243,838655,5649473,0
244,772899,5170995,1
245,42751657,4995919,1
246,835653,6272590,0
247,796313,6051599,0
248,835895,3687540,1
249,772907,5786651,0
250,768869,6277202,0
251,774781,5777586,0
252,790815,6105023,0
253,835174,6259066,0
254,809902,6318522,0
255,815822,5862907,0
256,791584,5413638,0
257,757946,5616021,0
258,766609,5150154,0
259,753256,5990003,0
260,772901,6045190,0
261,769306,5985334,0
262,769120,6005346,0
263,806649,6208628,0
264,772827,5623069,0
265,773555,5946345,0
266,835752,6106665,0
267,795525,6289774,0
268,771463,2899039,0
269,807152,6274700,0
270,788565,2884910,0
271,830157,6092627,0
272,802839,5675128,0
273,768786,5999764,0
274,793714,6072644,1
275,796681,6131673,0
276,770357,4144267,0
277,836120,3017116,0
278,43237674,318932942,1
279,776254,6072868,0
280,832618,6272408,0
281,841014,6164226,0
282,772901,6056649,0
283,815828,6110727,0
284,813529,6216235,0
285,772901,6003417,0
286,835253,5613615,0
287,816433,6141271,0
288,835895,6303173,0
289,842886,6312942,0
290,823213,6236193,0
291,769198,6004534,0
292,771514,6007521,0
293,771109,5965865,0
294,774876,4323138,0
295,790772,6179254,0
296,809419,6230667,0
297,804900,6113775,0
298,768780,5273319,0
299,811258,6219056,0
300,43267862,319212940,1
301,779694,894586,0
302,806633,4888180,0
303,793039,6020955,0
304,813149,6219870,0
305,788929,6106039,0
306,755031,6043258,0
307,769120,5597189,0
308,782219,6096965,1
309,808014,6230469,0
310,779238,5505369,0
311,786565,6290931,1
312,43842654,318787996,1
313,823213,6068484,0
314,43921666,320360935,1
315,799873,5932511,0
316,838323,5505922,1
317,772899,5973717,0
318,816433,4599216,0
319,768264,6010575,0
320,798012,5224756,0
321,807759,6234531,0
322,786590,6067548,0
323,816953,6195156,0
324,779694,6183937,0
325,816533,6249479,0
326,835284,6090604,1
327,42710685,4991282,1
328,792994,6136790,0
329,799181,6150244,0
330,769742,5984310,0
331,832016,5722987,0
332,806633,6172963,0
333,42989690,6275612,1
334,807571,5929940,0
335,791584,6116013,0
336,783152,5613615,0
337,791598,5903593,0
338,803484,6048238,0
339,772867,6096445,0
340,794849,6122097,0
341,793056,6119344,0
342,809419,316280949,1
343,783152,6106789,0
344,795525,5032234,0
345,802260,6138287,0
346,772827,2284606,0
347,772901,6029646,0
348,807861,6243466,0
349,816862,6207878,0
350,813661,5779141,0
351,788929,6156753,0
352,777457,6003513,0
353,513553,5862303,0
354,42517692,4689806,1
355,786568,4690293,0
356,776736,6121353,0
357,43593720,5550994,1
358,830285,6240401,0
359,800453,5918795,0
360,840299,6275515,1
361,795526,6272753,0
362,816662,6229958,0
363,820387,6254741,0
364,789862,5853839,0
365,815613,5990408,0
366,814240,6215640,0
367,784318,6181100,0
368,513553,6135147,0
369,835895,6272015,0
370,807753,6213503,0
371,791584,6110735,0
372,831330,6283312,0
373,470220,6167560,1
374,827074,6307679,0
375,818425,6238899,1
376,43376683,1398208,1
377,827564,6118937,0
378,773296,5427150,0
379,791797,6063656,0
380,836106,6270875,0
381,802715,6178608,0
382,805640,5977938,0
383,791955,5063634,0
384,772851,6123003,0
385,832134,6271071,0
386,769498,4685063,1
387,43709665,320189933,1
388,816433,1732700,0
389,772882,6025358,0
390,772904,6014247,0
391,769263,5944778,0
392,820421,6214046,0
393,772867,6090455,0
394,800806,3559690,0
395,841609,5024683,0
396,792498,6030096,1
397,765646,6051200,0
398,813531,6024881,0
399,822273,6259672,0
400,804937,5541701,0
401,780073,6131876,0
402,815822,6035443,0
403,832458,6036973,0
404,513553,6045516,0
405,843096,6300428,0
406,43396659,318641945,1
407,768882,6031108,0
408,782618,6109115,1
409,773246,6004013,0
410,800040,5753140,0
411,798509,6150630,0
412,491733,6053999,0
413,838038,6232730,0
414,841609,6318678,0
415,773644,6311070,0
416,816774,6291893,0
417,808824,6171414,0
418,826402,4907754,0
419,837656,5207199,0
420,43485681,6050625,1
421,834035,6291434,0
422,802715,6116016,0
423,820418,5716258,0
424,803486,6182946,1
425,798509,6019847,1
426,806649,1675616,0
427,766615,5665406,0
428,791957,6043864,0
429,793061,6214865,0
430,772901,5910367,0
431,781614,118784,0
432,43621663,321139928,1
433,42868666,6266935,1
434,819809,6272794,0
435,813938,6204891,1
436,821973,6210672,0
437,772827,6006683,0
438,758341,5461629,0
439,42372664,5976672,1
440,772901,5552944,0
441,792994,6188997,1
442,769177,5404496,1
443,845014,6030694,0
444,814613,5167756,0
445,830093,6164226,1
446,820414,6250497,0
447,43795661,4448629,1
448,776874,5880796,1
449,815613,6230831,0
450,769116,6016640,0
451,767175,6013203,0
452,779694,6079772,0
453,769856,5972098,0
454,771584,5859851,0
455,792035,6182440,0
456,830285,5863075,0
457,772899,6037400,0
458,42519696,5751565,1
459,780379,6085670,0
460,802839,5196920,0
461,792498,6106025,1
462,775796,6089703,0
463,775172,6077484,0
464,44057676,2358658,1
465,43285707,4861968,1
466,799873,1267888,0
467,781614,5244046,0
468,43236688,316899937,1
469,829773,6105907,0
470,815829,6254053,1
471,792035,6230006,0
472,770799,5409435,0
473,800040,5342509,0
474,823213,5093808,0
475,803335,5999907,0
476,791744,6212988,0
477,43485686,317975931,1
478,782219,6108477,0
479,829675,6263819,0
480,791744,6068417,0
481,796313,6154696,0
482,765900,5559701,1
483,772870,6109468,0
484,820414,6215584,0
485,821734,6244946,0
486,807859,6261568,0
487,819035,6232182,0
488,832019,6293606,0
489,42390692,319233948,1
490,793234,5764363,0
491,776254,5072257,0
492,772867,6091805,0
493,800814,6119006,1
494,819035,6170547,0
495,814613,6219902,0
496,767175,5992263,0
497,772414,5685531,0
498,42763653,317390927,1
499,772412,6031043,0
500,807602,3683289,0
501,820417,6233547,0
502,43267862,6019370,1
503,820014,6196567,0
504,779975,6035883,0
505,811206,6225658,0
506,816153,5859662,0
507,772867,6080121,0
508,792035,6199829,0
509,778676,6262514,0
510,829137,5757594,0
511,774773,633661,0
512,807602,6221111,0
513,684118,6004317,0
514,799994,6225323,0
515,791955,5378894,0
516,774883,5856236,0
517,809902,6248813,0
518,765036,5981449,0
519,822293,6250950,0
520,810726,6029818,0
521,43694656,317977947,1
522,769116,6007810,0
523,765345,5769814,0
524,792994,6237304,0
525,792993,6268404,0
526,816561,6230928,0
527,837950,6037200,0
528,770078,4927477,0
529,42939022,580500,1
530,774793,858750,0
531,841609,6318630,0
532,777354,6053114,0
533,769692,5968169,0
534,809419,6231275,0
535,770813,6034245,0
536,781116,6112288,0
537,774243,5998217,0
538,815819,6282294,0
539,798032,6186417,0
540,820014,6237123,0
541,780074,630549,0
542,771103,5856085,0
543,762697,6026356,0
544,42922925,317450984,1
545,803266,5917893,0
546,816153,6240875,0
547,833364,6272311,0
548,793955,6071719,0
549,765989,5981094,0
550,834921,6292715,0
551,42390677,1245016,1
552,786565,6006796,1
553,764016,5980440,0
554,768787,5687177,0
555,774868,87595,0
556,840046,6280622,0
557,798206,6182938,0
558,831329,6193266,0
559,777448,6110951,0
560,797511,6127316,0
561,818513,6259677,0
562,837948,6256761,1
563,802840,6156370,0
564,786572,4131610,0
565,796253,6141119,0
566,43111778,318715962,1
567,838335,6297827,0
568,769116,5837505,0
569,781595,4652752,0
570,805853,316234071,1
571,819057,6248696,0
572,791118,6090774,0
573,768878,6076287,0
574,771109,6030571,0
575,831328,6316046,0
576,834876,6290327,0
577,808994,5949669,0
578,816561,5926859,0
579,781614,6096568,0
580,815822,5450636,0
581,766805,6008316,0
582,843429,5868724,0
583,784318,6029569,1
584,773643,6240516,0
585,832013,6242591,0
586,815337,5992895,0
587,769116,6020636,0
588,816433,5513147,0
589,774868,6041642,0
590,777448,5979642,0
591,830253,6272299,0
592,775104,1050898,0
593,769118,6029267,0
594,816561,6228894,0
595,43267871,318885931,1
596,786742,6104067,0
597,42646677,317631977,1
598,513553,5901612,0
599,769118,5966493,0
600,772901,5600497,0
601,816862,6156714,0
602,770799,5479053,0
603,765345,6031814,0
604,765646,6037529,0
605,804941,6177045,0
606,803926,6195180,0
607,42438662,6019892,1
608,772821,5425285,0
609,817998,5988075,0
610,816561,6242423,0
611,766615,2698928,1
612,43454659,5897684,1
613,838614,6278837,0
614,765991,4686436,0
615,873035,317980900,1
616,772899,6019273,0
617,771968,5992298,0
618,819480,6240316,0
619,767175,5990843,0
620,843456,6316180,0
621,772906,6053388,0
622,42939022,317671947,1
623,839438,6309605,1
624,757943,5415936,0
625,42640691,2594408,1
626,842882,6314443,0
627,43330666,316830926,1
628,808262,6004871,0
629,770860,5531550,0
630,773247,5389989,0
631,782877,6190278,0
632,766787,5999475,0
633,769856,5206139,0
634,816275,6195474,0
635,772901,103873,0
636,802839,6048020,0
637,820496,5244777,0
638,767734,5724838,0
639,808001,2398647,0
640,826474,5862238,1
641,42989690,6271133,1
642,797510,6143377,0
643,796313,5930000,1
644,43621663,6089377,1
645,772901,5995030,0
646,813536,2470347,0
647,844715,6317650,0
648,813657,5768586,0
649,781773,6041731,0
650,773207,5892295,0
651,798032,6157208,0
652,772867,5605021,0
653,772901,6044435,0
654,790033,5419225,1
655,769742,6057374,0
656,823213,4829604,0
657,800235,5095596,0
658,797455,6166305,0
659,772851,6103324,0
660,816815,5647378,0
661,742176,6007007,0
662,781074,6135961,0
663,813529,6074136,0
664,793056,5753140,0
665,772901,5047150,0
666,804577,6166460,0
667,802674,6241675,0
668,804268,6175998,0
669,777448,5148438,0
670,724437,6135251,0
671,768869,5859918,0
672,800453,5812236,1
673,820414,6194573,0
674,816134,6170217,0
675,762409,6050619,1
676,820414,5672009,0
677,828353,6204060,0
678,770048,5827404,0
679,777032,6076874,0
680,803266,6212276,0
681,770107,5426167,0
682,786572,1574519,0
683,795540,6207451,0
684,791744,6209893,0
685,813532,6201295,0
686,803874,5901974,0
687,838359,6269803,0
688,43236688,318905932,1
689,770860,4413989,0
690,803874,6216147,0
691,772907,6061823,0
692,762697,6043927,0
693,768878,6061044,0
694,841609,6313959,0
695,43653678,316228986,1
696,819733,6106031,0
697,819057,6230663,0
698,834296,1647767,0
699,820421,5491042,0
700,42989690,316856929,1
701,817995,6238952,0
702,802593,6153796,0
703,807571,6076133,0
704,792136,6125433,0
705,843453,6311928,0
706,767230,4971803,0
707,772821,6063129,0
708,762700,5844706,0
709,806913,6208969,0
710,830285,6216504,0
711,793761,6043446,0
712,792391,4686436,0
713,817995,6302237,0
714,753136,5581847,1
715,815337,5690946,0
716,798510,5073212,1
717,791956,6029098,0
718,820388,6203854,0
719,815613,6297815,0
720,837793,5514671,0
721,835756,6170872,0
722,762700,6009758,0
723,819057,6118986,0
724,42989690,534800,1
725,807257,6223330,0
726,797516,6144029,0
727,799873,5320184,0
728,788680,5278395,1
729,43922680,321094954,1
730,771417,6026970,0
731,838388,5000083,1
732,772901,6013070,0
733,809514,6197573,0
734,797516,5849775,0
735,802715,6158412,0
736,782618,5693428,0
737,837977,6289463,0
738,788722,5905438,0
739,772899,6138631,0
740,793627,5814383,1
741,782877,6122768,0
742,812258,5977985,1
743,489735,6137206,0
744,820416,6237821,0
745,806890,6175137,0
746,795525,6277672,0
747,815613,1311606,1
748,791744,6181786,0
749,772901,6065802,0
750,829735,6263800,0
751,802254,6004514,0
752,823538,6235363,0
753,813876,6102178,0
754,771540,5610550,0
755,817493,6100068,0
756,829735,5867286,0
757,769853,5217113,0
758,770372,5881618,0
759,781607,6076228,0
760,42989690,5795848,1
761,775053,5954562,0
762,513553,6247308,0
763,806235,6225974,0
764,757946,5986818,0
765,795526,5156324,0
766,798032,5722551,0
767,815651,6286389,0
768,772899,6004033,0
769,772901,5966174,0
770,777457,6064545,1
771,816893,4937686,0
772,809419,6281834,0
773,812237,5975532,0
774,813875,6221531,0
775,792162,6094763,0
776,832097,5006748,0
777,807435,6172098,0
778,816953,6250282,0
779,762700,6064844,0
780,771540,6022871,0
781,815822,6288441,0
782,788929,5869866,0
783,769490,6024115,0
784,798003,5133151,0
785,793955,6113001,0
786,774243,6006666,0
787,827074,6263287,0
788,792138,5197917,0
789,794849,6071667,0
790,791744,6124591,0
791,816153,6273354,0
792,766798,6175900,0
793,792136,5971004,0
794,815828,6216293,0
795,838038,6281769,0
796,43922680,319983945,1
797,793061,6202734,0
798,835721,6227068,0
799,801330,6083456,0
800,765344,6042802,0
801,816939,6221511,0
802,770860,5896415,0
803,803266,6138647,0
804,769695,3179239,0
805,788929,6140005,0
806,807214,287987,0
807,770859,4984050,0
808,769742,6016779,0
809,772901,6028374,0
810,767230,5851005,0
811,743653,5964385,0
812,836120,4779368,0
813,771193,5872721,0
814,816233,6224810,0
815,834917,4304667,0
816,762409,6100640,0
817,837950,140181,1
818,793143,6025515,0
819,792001,5712168,0
820,777354,6101896,0
821,823213,6102934,0
822,819042,6234161,0
823,820418,6244635,0
824,792393,6018243,0
825,829675,6224693,0
826,841516,3166116,0
827,42597697,5559880,1
828,42939022,317721909,1
829,772901,5435760,0
830,813657,6006216,0
831,802838,6158492,0
832,827014,5632323,0
833,824954,5335091,0
834,816862,6250296,0
835,746979,6023943,0
836,773121,6217804,0
837,772338,4284100,0
838,798032,6276267,0
839,830157,6262912,0
840,801830,6052053,0
841,779698,6082058,0
842,42763653,245760,1
843,836360,6018811,0
844,773555,5995087,0
845,803215,5464158,0
846,806890,5123400,0
847,814034,2658468,0
848,818297,6233439,0
849,772339,6022303,0
850,772901,5899609,0
851,764027,5987184,0
852,795949,6228638,0
853,807567,6201286,0
854,764016,6049122,0
855,796253,6148780,1
856,788631,6111228,0
857,821515,6233248,0
858,826693,6102049,0
859,808373,6193266,0
860,768787,5989604,0
861,835284,6212524,1
862,832618,6014921,1
863,782199,5375468,0
864,820014,6149497,0
865,815614,5989626,0
866,780379,5946232,0
867,836099,6180253,0
868,823538,6134535,1
869,819733,6258849,0
870,772901,5483351,0
871,792036,6055331,0
872,803266,6184183,0
873,797516,4571871,0
874,816538,6262229,0
875,832458,6061816,0
876,772339,6037173,0
877,790033,4343857,1
878,817493,6234018,0
879,770860,5938705,0
880,769681,6009759,0
881,784673,6093097,0
882,780073,6056991,0
883,815336,5874084,0
884,835284,6249441,1
885,802713,6070658,0
886,793061,2838690,0
887,809419,5823793,1
888,770107,5939050,0
889,798509,5696072,1
890,781606,6086104,0
891,835721,6254722,0
892,44238750,319998942,1
893,774619,5813893,0
894,779236,6082863,0
895,837268,6290685,0
896,804937,6181391,0
897,779287,5863718,0
898,797093,6133229,0
899,807574,6229590,0
900,802839,3693496,0
901,43377661,6225317,1
902,813876,6209184,1
903,774773,6085121,0
904,42429686,4704945,1
905,786590,1747546,0
906,835762,6273455,0
907,815819,6134767,0
908,760917,6009222,0
909,765989,5268830,0
910,807257,5368630,0
911,771514,6051422,0
912,835269,6226180,0
913,781773,2776968,0
914,42761682,319257909,1
915,770814,6112207,0
916,795526,6292514,0
917,768869,5566970,0
918,787556,5591918,0
919,829235,6266821,0
920,824313,5799287,1
921,769120,4792944,0
922,813875,6018175,0
923,813875,6212689,0
924,820417,5977180,0
925,837960,5979666,0
926,807257,5698880,1
927,837897,5840152,0
928,781074,5699967,0
929,794555,5456931,0
930,770814,3162526,0
931,825081,5143681,0
932,776254,1380506,0
933,771103,6053477,0
934,791598,6084589,0
935,820419,4855656,0
936,42907684,5553345,1
937,793061,6208632,0
938,772899,5637776,0
939,789581,5962456,0
940,769754,5167075,0
941,766789,6135248,0
942,804937,4568840,0
943,805853,316147029,1
944,769306,5853569,0
945,808994,6237821,0
946,811283,6269309,0
947,829293,6267130,0
948,781773,5783044,0
949,791584,6072958,0
950,772339,5403763,0
951,816433,6229259,0
952,800036,6179392,0
953,794849,5770236,0
954,42777660,6264018,1
955,842549,6216745,1
956,835284,6281557,0
957,783274,5978942,0
958,832584,6256224,0
959,802713,6130570,0
960,802257,6197886,0
961,820418,4749777,0
962,779694,6251213,0
963,792154,5668892,0
964,809902,6313346,0
965,771875,6008641,0
966,827800,5935768,1
967,835754,6281423,0
968,772515,4403568,0
969,770372,6051422,0
970,799873,6139931,0
971,816153,6282496,0
972,44044765,2477836,1
973,835284,6282114,0
974,785556,4858911,0
975,832019,4969034,0
976,770860,5996087,0
977,773555,5829996,0
978,784156,6105707,0
979,781074,6055331,0
980,775090,5005803,0
981,802254,1226057,0
982,832659,6104386,1
983,776876,6049600,0
984,769306,4597650,0
985,772867,6057067,0
986,815336,6198370,0
987,770398,316504295,1
988,43809664,320186916,1
989,772906,5023454,0
990,653758,6088534,1
991,819057,6227386,0
992,772899,5999861,0
993,42319752,5680777,1
994,803243,5025825,0
995,832584,6295028,0
996,772901,4677401,0
997,837656,5419400,0
998,743653,5923854,0
999,776834,5398807,0
1000,42319752,6306224,1
1001,794849,54748,0
1002,684118,5981784,0
1003,684118,5866913,0
1004,781993,6064707,0
1005,831137,6208993,0
1006,807574,5992726,0
1007,787413,5410232,0
1008,813661,5672137,0
1009,807602,6212988,0
1010,834175,6296789,0
1011,791744,6176329,0
1012,833100,6103290,0
1013,766805,6185931,0
1014,763486,5183900,0
1015,772865,5998724,0
1016,772867,5818356,0
1017,836784,6172378,0
1018,817998,5871273,1
1019,815828,6054517,0
1020,813149,6221475,0
1021,772901,6043853,0
1022,630490,6264049,0
1023,790813,6074808,1
1024,770357,5998763,0
1025,817995,5109987,0
1026,809419,4975597,1
1027,779698,4862482,0
1028,813938,6207678,0
1029,770108,5817109,0
1030,792393,5720898,1
1031,806693,6223589,0
1032,781074,5792334,1
1033,801095,923357,1
1034,769754,6044468,0
1035,813531,6219530,0
1036,827580,4818051,0
1037,830253,6264770,0
1038,772867,6075645,0
1039,42763653,4859204,1
1040,792035,6137909,0
1041,793056,6141080,0
1042,802264,6191009,0
1043,772339,6028299,0
1044,768869,6105516,0
1045,773643,6165826,0
1046,842549,316703009,1
1047,42646677,317399949,1
1048,810857,2908586,0
1049,798032,6214834,0
1050,797999,6139527,0
1051,815336,6200881,0
1052,762698,5973716,0
1053,771514,4155990,0
1054,790560,237596,0
1055,793627,5576601,0
1056,815613,6257064,0
1057,838253,6217799,1
1058,766615,5752038,0
1059,819882,6204563,1
1060,771514,6085839,0
1061,790772,6012004,0
1062,827800,5813928,0
1063,795524,6170863,0
1064,837236,6201963,1
1065,812254,6260956,0
1066,771540,6023522,0
1067,772867,5344731,0
1068,842549,5101142,0
1069,842954,5940396,0
1070,768878,4972513,0
1071,823295,5330700,0
1072,769276,5996665,0
1073,832461,6278452,0
1074,809902,6205653,0
1075,776192,6019918,0
1076,778676,6211357,1
1077,797265,6200181,0
1078,772904,6067963,0
1079,817493,6179983,0
1080,43621663,2765410,1
1081,772899,6106264,0
1082,820421,6025864,0
1083,772819,5071584,0
1084,766615,4003887,1
1085,791957,6117266,0
1086,844057,6140233,0
1087,844056,6091533,0
1088,772827,5926414,0
1089,844056,6054680,0
1090,750699,5985017,0
1091,42499690,6218049,1
1092,44254655,5976103,1
1093,782599,6082671,0
1094,771514,6025200,0
1095,776876,6028333,0
1096,773208,537767,0
1097,837656,5709407,0
1098,830285,2825539,0
1099,792036,5712168,0
1100,770108,6034303,0
1101,806514,6188657,0
1102,797512,3396539,0
1103,772819,6062610,0
1104,782618,4625634,1
1105,791958,5968956,0
1106,772899,5857461,0
1107,779694,5987650,0
1108,771514,6072957,0
1109,804690,5448420,1
1110,42491720,6118671,1
1111,765646,6039961,0
1112,772882,6029276,0
1113,836120,6274048,0
1114,813661,4893598,0
1115,837567,5886895,1
1116,806651,6188285,0
1117,785914,3268898,0
1118,789981,6121240,0
1119,777457,5572812,0
1120,766615,789527,1
1121,832545,6272820,0
1122,43485660,5503498,1
1123,817493,5864423,0
1124,771463,31120,1
1125,42532668,319070956,1
1126,800040,6094439,0
1127,807602,5771297,0
1128,769116,5960912,0
1129,808824,316189147,1
1130,779694,6239102,0
1131,813533,6055308,0
1132,770402,5534088,0
1133,800814,4675075,0
1134,788570,6109546,0
1135,830843,5147493,0
1136,797912,6130929,0
1137,825973,4766872,0
1138,799013,6062177,0
1139,819799,5716278,0
1140,842882,6317866,0
1141,42844699,317190959,1
1142,786649,2955008,1
1143,816666,6115012,0
1144,769742,6020204,0
1145,42989690,317054995,1
1146,43668706,3638347,1
1147,776876,5623069,0
1148,771514,4730013,0
1149,777435,6049258,0
1150,781993,4661112,0
1151,802839,5080697,0
1152,793763,5879269,0
1153,831328,5351323,0
1154,778676,6257789,0
1155,772819,4779009,0
1156,769604,6024207,0
1157,812926,6240717,0
1158,807861,6269296,0
1159,843096,6272564,0
1160,802715,5977881,0
1161,767496,5998171,0
1162,824439,6196342,0
1163,826058,6264285,0
1164,43076680,318869919,1
1165,800846,6129683,1
1166,762700,6063586,0
1167,791744,4790881,0
1168,774243,6045873,0
1169,843528,5858475,1
1170,769120,6004036,0
1171,811273,480063,0
1172,815822,4626252,0
1173,807561,5953995,0
1174,788629,6079935,0
1175,813661,6243429,0
1176,762698,5994521,0
1177,787717,4601114,0
1178,786162,5138402,0
1179,837656,6195259,0
1180,43241661,318215994,1
1181,43921679,317451916,1
1182,772899,6031305,0
1183,770403,2652490,0
1184,42907680,6168307,1
1185,815822,6169535,0
1186,792037,6144129,0
1187,779236,5760702,0
1188,809514,6195410,0
1189,820421,6243660,0
1190,800874,6051313,0
1191,815822,6149191,0
1192,791955,5740416,0
1193,765900,5990325,0
1194,491733,6111179,0
1195,801318,5980846,0
1196,815829,4948292,1
1197,775140,6047936,0
1198,823638,6240195,0
1199,832461,6251653,0
1200,820418,5061364,0
1201,813661,5908059,1
1202,795373,6090867,0
1203,816538,6232332,0
1204,798012,5779141,0
1205,811738,6289353,0
1206,814034,6203637,0
1207,829261,6068402,0
1208,815614,6305392,0
1209,762700,5153715,0
1210,799875,6193503,0
1211,819054,6234145,0
1212,770048,6016712,0
1213,43111778,316498982,1
1214,845014,6272875,0
1215,831329,6268952,0
1216,807152,6202643,0
1217,842549,6012672,0
1218,776192,6048049,0
1219,769118,6018916,0
1220,772851,6032587,0
1221,42624651,5867358,1
1222,837948,5910491,1
1223,791744,316326980,1
1224,836120,6292768,0
1225,835282,6031304,0
1226,765646,6008699,0
1227,835284,6309191,0
1228,742999,4855240,0
1229,792037,5987608,0
1230,772906,5453703,0
1231,792036,6152221,0
1232,816153,5225433,0
1233,43179720,317707911,1
1234,746979,759874,0
1235,811206,6264415,0
1236,771968,6026368,0
1237,772899,6037200,0
1238,792037,6212051,0
1239,771968,6018182,0
1240,815613,5079050,1
